City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,florence,43.7667,11.25,100.08,31,0,9.22,IT,1692980506
1,avarua,-21.2078,-159.775,75.25,78,40,4.61,CK,1692980729
2,yerofey pavlovich,53.9667,121.9667,50.18,75,29,3.71,RU,1692980730
3,waitangi,-43.9535,-176.5597,46.81,92,82,1.01,NZ,1692980731
4,namibe,-15.1961,12.1522,69.19,79,78,12.1,AO,1692980732
5,tazovsky,67.4667,78.7,49.73,70,92,7.38,RU,1692980732
6,adamstown,-25.066,-130.1015,66.16,64,95,19.04,PN,1692980733
7,puerto natales,-51.7236,-72.4875,38.37,76,99,4.34,CL,1692980734
8,kigoma,-4.8769,29.6267,80.19,57,42,9.75,TZ,1692980735
9,bethel,41.3712,-73.414,72.45,89,100,1.01,US,1692980736
10,bodo,67.28,14.405,66.94,75,0,8.05,NO,1692980736
11,bredasdorp,-34.5322,20.0403,49.62,83,74,26.19,ZA,1692980737
12,iqaluit,63.7506,-68.5145,47.93,76,100,5.75,CA,1692980738
13,rongelap,11.1635,166.8941,81.7,79,85,8.72,MH,1692980738
14,gamboma,-1.8764,15.8644,86.95,51,94,4.56,CG,1692980739
15,khash,28.2211,61.2158,81.82,15,75,13.29,IR,1692980740
16,puerto cabello,10.4731,-68.0125,98.15,63,54,3.85,VE,1692980740
17,awjilah,29.1081,21.2869,106.72,13,2,7.34,LY,1692980741
18,lihue,21.9789,-159.3672,78.39,83,100,13.8,US,1692980742
19,yellowknife,62.456,-114.3525,67.41,76,40,5.01,CA,1692980741
20,longyearbyen,78.2186,15.6401,46.24,87,75,12.66,SJ,1692980743
21,carnarvon,-24.8667,113.6333,65.82,79,0,11.86,AU,1692980744
22,petukhovo,55.0692,67.9019,57.04,50,100,3.83,RU,1692980744
23,altai,46.3722,96.2583,51.48,74,28,2.13,MN,1692980745
24,arauco,-37.2463,-73.3175,51.64,58,3,2.39,CL,1692980746
25,metlili chaamba,32.2667,3.6333,101.34,12,20,3.44,DZ,1692980583
26,fort st. john,56.2499,-120.8529,57.09,72,0,3.44,CA,1692980747
27,ushuaia,-54.8,-68.3,35.26,51,20,6.91,AR,1692980748
28,rio grande,-32.035,-52.0986,66.31,47,45,6.13,BR,1692980748
29,bikenibeu village,1.3673,173.1241,78.76,89,20,1.14,KI,1692980749
30,port blair,11.6667,92.75,81.43,83,96,12.62,IN,1692980750
31,douglas,41.3,-96.167,88.68,64,40,3.44,US,1692980750
32,ribeira brava,32.65,-17.0667,85.01,86,100,4.88,PT,1692980751
33,papatowai,-46.5619,169.4708,45.91,94,100,4.52,NZ,1692980752
34,kenai,60.5544,-151.2583,55.15,98,100,10.36,US,1692980753
35,margaret river,-33.95,115.0667,55.26,80,29,2.48,AU,1692980754
36,aasiaat,68.7098,-52.8699,38.25,90,35,8.08,GL,1692980755
37,djambala,-2.5447,14.7533,74.07,75,100,4.27,CG,1692980755
38,vilyuysk,63.7553,121.6247,54.39,75,57,5.64,RU,1692980756
39,hassi messaoud,31.6804,6.0729,103.86,11,0,4.61,DZ,1692980757
40,breyten,-26.3018,29.987,67.59,32,85,13.47,ZA,1692980757
41,buala,-8.145,159.5921,78.39,85,100,9.46,SB,1692980758
42,alma,48.5501,-71.6491,69.01,69,78,6.96,CA,1692980759
43,seonghwan,36.9156,127.1314,74.95,100,0,0.0,KR,1692980760
44,uliastay,47.7417,96.8444,52.39,75,70,4.16,MN,1692980760
45,afaahiti,-17.75,-149.2833,71.47,84,48,16.49,PF,1692980761
46,luganville,-15.5333,167.1667,71.17,81,62,7.94,VU,1692980762
47,tocopilla,-22.092,-70.1979,68.5,66,28,8.61,CL,1692980763
48,albany,42.6001,-73.9662,74.73,83,99,4.23,US,1692980515
49,laminusa,5.5549,120.9136,84.02,70,61,4.76,PH,1692980764
50,hawaiian paradise park,19.5933,-154.9731,70.03,93,100,12.66,US,1692980765
51,klyuchi,52.2667,79.1667,59.99,52,48,5.32,RU,1692980766
52,hornell,42.3279,-77.6611,76.75,86,100,3.0,US,1692980766
53,okhotsk,59.3833,143.3,50.54,80,19,14.27,RU,1692980767
54,ilulissat,69.2167,-51.1,44.62,87,75,5.75,GL,1692980768
55,san-pedro,4.7485,-6.6363,79.48,80,81,8.55,CI,1692980769
56,chertkovo,49.3847,40.1547,69.62,43,82,8.5,RU,1692980769
57,kaoma,-14.7833,24.8,83.37,11,1,4.85,ZM,1692980770
58,olonkinbyen,70.9221,-8.7187,43.21,91,0,15.75,SJ,1692980771
59,edinburgh of the seven seas,-37.0676,-12.3116,58.24,90,100,24.63,SH,1692980772
60,lagoa,39.05,-27.9833,72.28,82,6,19.19,PT,1692980773
61,lebu,-37.6167,-73.65,49.03,63,4,1.63,CL,1692980773
62,colonia,50.9333,6.95,77.41,89,81,9.46,DE,1692980476
63,karonga,-9.9333,33.9333,75.81,59,22,2.42,MW,1692980775
64,saint-philippe,-21.3585,55.7679,69.39,79,51,11.83,RE,1692980776
65,tiksi,71.6872,128.8694,47.68,89,59,9.89,RU,1692980776
66,bereket,39.2446,55.5154,92.89,19,23,7.99,TM,1692980777
67,hithadhoo,-0.6,73.0833,83.3,73,2,8.7,MV,1692980778
68,port-aux-francais,-49.35,70.2167,37.33,95,93,25.72,TF,1692980779
69,grytviken,-54.2811,-36.5092,28.96,88,18,6.08,GS,1692980780
70,hamilton,39.1834,-84.5333,93.22,75,20,9.22,US,1692980513
71,st. john's,47.5649,-52.7093,71.28,78,40,9.22,CA,1692980603
72,hasaki,35.7333,140.8333,80.31,85,0,5.03,JP,1692980781
73,tchibanga,-2.85,11.0333,82.53,57,84,8.3,GA,1692980782
74,bilibino,68.0546,166.4372,38.44,77,44,2.93,RU,1692980783
75,stanley,54.868,-1.6985,64.27,86,40,4.61,GB,1692980523
76,laguna,38.421,-121.4238,76.01,73,0,6.91,US,1692980785
77,phongsali,21.6833,102.1058,63.45,99,99,1.59,LA,1692980785
78,colonel hill,22.7667,-74.2167,83.3,73,4,5.32,BS,1692980787
79,college,64.8569,-147.8028,57.15,95,75,0.0,US,1692980788
80,serang,-6.1149,106.1502,78.93,77,74,3.58,ID,1692980788
81,amga,60.8953,131.9608,44.11,85,4,2.21,RU,1692980789
82,wynyard,-41.0,145.7167,42.03,76,100,4.56,AU,1692980790
83,papao,-17.75,-149.55,73.08,82,38,18.16,PF,1692980790
84,zag,46.9441,99.165,46.58,84,83,1.03,MN,1692980791
85,kalmunai,7.4167,81.8167,83.86,69,99,14.16,LK,1692980792
86,kruisfontein,-34.0033,24.7314,59.88,37,52,13.73,ZA,1692980793
87,susuman,62.7833,148.1667,41.65,94,100,5.93,RU,1692980797
88,san luis,-33.295,-66.3356,48.9,70,96,14.92,AR,1692980800
89,montalbano jonico,40.2879,16.5788,85.28,33,0,9.46,IT,1692980801
90,nar'yan-mar,67.6713,53.087,45.82,87,100,12.46,RU,1692980802
91,saint david's,12.0333,-61.6667,89.04,74,20,12.66,GD,1692980803
92,manjeshvar,12.7,74.8833,79.99,85,95,1.34,IN,1692980804
93,badger,64.8,-147.5333,57.07,95,100,0.0,US,1692980805
94,ruteng,-8.6136,120.4721,57.27,82,11,1.32,ID,1692980806
95,dapa,9.7594,126.0531,82.81,75,89,4.74,PH,1692980806
96,port alfred,-33.5906,26.891,58.17,72,0,17.38,ZA,1692980807
97,kuanda,56.3161,116.0806,57.13,77,30,2.44,RU,1692980808
98,georgetown,5.4112,100.3354,84.13,79,20,3.44,MY,1692980626
99,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,10.36,EC,1692980809
100,port mathurin,-19.6833,63.4167,72.84,74,0,25.01,MU,1692980810
101,fale old settlement,-9.3852,-171.2468,82.35,80,40,15.26,TK,1692980810
102,sinabang,2.4803,96.3801,78.46,87,100,6.8,ID,1692980811
103,verkhnevilyuysk,63.4453,120.3167,54.16,83,57,4.83,RU,1692980812
104,talnakh,69.4865,88.3972,52.21,93,95,2.66,RU,1692980812
105,posto fiscal rolim de moura,-13.0833,-62.2667,102.09,23,8,6.73,BR,1692980584
106,kailua-kona,19.6406,-155.9956,73.51,82,40,5.99,US,1692980814
107,shenjiamen,29.9576,122.298,79.88,84,98,4.5,CN,1692980814
108,belyy yar,53.6039,91.3903,69.69,73,0,4.47,RU,1692980815
109,isafjordur,66.0755,-23.124,66.24,48,75,6.91,IS,1692980816
110,berdyaush,55.1619,59.1464,43.23,92,84,0.81,RU,1692980818
111,holualoa,19.6228,-155.9522,69.78,83,40,5.99,US,1692980818
112,punta arenas,-53.15,-70.9167,35.91,67,96,11.12,CL,1692980587
113,cardona,14.45,121.2167,82.74,90,100,16.26,PH,1692980821
114,iskateley,67.6803,53.1512,45.72,87,100,12.24,RU,1692980822
115,dunedin,-45.8742,170.5036,43.81,91,78,1.72,NZ,1692980823
116,san patricio,28.017,-97.5169,93.18,52,5,4.65,US,1692980824
117,masterton,-40.9597,175.6575,40.89,95,20,1.68,NZ,1692980825
118,praia da vitoria,38.7333,-27.0667,79.75,78,40,15.19,PT,1692980826
119,al bahah,20.0129,41.4677,89.02,44,92,4.79,SA,1692980826
120,mhango,-3.2833,32.85,82.36,30,58,4.23,TZ,1692980827
121,bardai,11.65,7.2333,77.2,77,98,7.29,NG,1692980828
122,la sarre,48.8002,-79.1996,65.12,84,99,4.72,CA,1692980829
123,blackmans bay,-43.0167,147.3167,42.53,85,77,4.59,AU,1692980829
124,mount gambier,-37.8333,140.7667,43.23,86,83,4.81,AU,1692980830
125,nova vicosa,-17.8919,-39.3719,86.45,56,1,13.65,BR,1692980831
126,callao,-12.0667,-77.15,73.69,60,75,3.44,PE,1692980832
127,kokstad,-30.5472,29.4241,72.14,17,76,9.69,ZA,1692980833
128,bria,6.5423,21.9863,78.37,90,69,3.8,CF,1692980834
129,chamical,-30.36,-66.314,63.09,27,8,6.04,AR,1692980834
