City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.0531,-135.33,60.69,82,100,3.44,US,1693047018
1,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,100,75,2.24,RU,1693046721
2,grytviken,-54.2811,-36.5092,22.48,74,72,22.37,GS,1693047019
3,isafjordur,66.0755,-23.124,60.84,72,75,17.27,IS,1693047020
4,san ignacio,17.1561,-89.0714,75.34,100,75,4.61,BZ,1693047020
5,avarua,-21.2078,-159.775,77.05,88,40,13.8,CK,1693046892
6,la passe,45.5549,-0.8967,73.63,51,27,14.12,FR,1693047022
7,jamaame,0.0697,42.745,86.95,48,35,15.57,SO,1693047022
8,egilsstadir,65.2653,-14.3948,60.71,63,0,2.3,IS,1693047023
9,kargasok,59.0556,80.8572,61.65,60,46,8.01,RU,1693047024
10,suva,-18.1416,178.4415,67.48,100,75,2.3,FJ,1693047024
11,olinda,-8.0089,-34.8553,73.13,94,20,4.61,BR,1693047009
12,port elizabeth,-33.918,25.5701,59.09,76,40,31.07,ZA,1693047026
13,benguela,-12.5763,13.4055,76.89,70,55,11.05,AO,1693047026
14,tiksi,71.6872,128.8694,45.61,98,100,2.59,RU,1693047027
15,qaqortoq,60.7167,-46.0333,45.18,95,100,5.86,GL,1693047028
16,rongelap,11.1635,166.8941,82.42,71,100,14.58,MH,1693047028
17,waitangi,-43.9535,-176.5597,47.82,80,100,1.01,NZ,1693047029
18,albany,42.6001,-73.9662,68.05,94,49,4.63,US,1693047029
19,bredasdorp,-34.5322,20.0403,56.26,49,66,14.83,ZA,1693047030
20,flying fish cove,-10.4217,105.6791,76.68,83,40,12.66,CX,1693047031
21,iqaluit,63.7506,-68.5145,40.73,86,100,13.0,CA,1693046932
22,udachny,66.4167,112.4,75.45,33,6,10.29,RU,1693047032
23,amga,60.8953,131.9608,57.18,60,53,1.88,RU,1693047033
24,edinburgh of the seven seas,-37.0676,-12.3116,59.25,85,100,34.45,SH,1693047034
25,recani,31.2846,-4.2688,97.57,12,0,4.83,MA,1693047034
26,mil'kovo,55.6078,37.7956,63.91,67,100,3.49,RU,1693047035
27,pingdingshan,33.7385,113.3012,67.5,98,100,15.28,CN,1693047036
28,mansa,29.9833,75.3833,100.74,29,36,6.04,IN,1693047036
29,jayapura,-2.5333,140.7,76.39,87,42,2.08,ID,1693047037
30,olonkinbyen,70.9221,-8.7187,43.84,97,53,18.92,SJ,1693047038
31,tura,25.5198,90.2201,74.32,99,100,2.1,IN,1693047039
32,sakchu-up,40.3894,125.0467,70.84,81,100,2.28,KP,1693047040
33,queenstown,-31.8976,26.8753,48.78,38,93,23.98,ZA,1693047040
34,taruma,-22.7467,-50.5772,62.29,81,76,11.5,BR,1693047041
35,kapit,2.0167,112.9333,76.57,96,97,0.87,MY,1693047042
36,port-aux-francais,-49.35,70.2167,38.44,74,38,19.46,TF,1693047042
37,turtas,58.9417,69.1325,57.38,73,83,5.88,RU,1693047043
38,hawaiian paradise park,19.5933,-154.9731,71.89,91,100,4.61,US,1693047044
39,howard springs,-12.497,131.047,81.82,53,70,3.67,AU,1693047044
40,guiren,33.6697,118.1889,78.08,71,100,13.62,CN,1693047045
41,bairnsdale,-37.8333,147.6167,52.05,78,97,3.11,AU,1693047046
42,uthal,25.8072,66.6219,88.61,58,84,18.16,PK,1693047046
43,iskateley,67.6803,53.1512,46.96,75,100,12.28,RU,1693047047
44,segezha,63.7415,34.3222,60.76,56,83,6.06,RU,1693047048
45,silsbee,30.3491,-94.178,78.57,94,25,1.83,US,1693047048
