City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,56.17,74,75,17.27,CA,1693397705
1,utrik,11.2278,169.8474,83.61,75,92,16.69,MH,1693397706
2,batticaloa,7.7102,81.6924,83.01,77,100,6.73,LK,1693397707
3,kuta,-8.7233,115.1723,78.75,88,40,13.0,ID,1693397708
4,ilulissat,69.2167,-51.1,39.22,87,75,1.14,GL,1693397708
5,puerto natales,-51.7236,-72.4875,31.93,89,39,6.08,CL,1693397709
6,prado,-17.3411,-39.2208,75.22,81,79,3.6,BR,1693397566
7,bikenibeu village,1.3673,173.1241,84.16,74,20,4.61,KI,1693397710
8,sona,45.4388,10.8255,77.59,57,40,5.75,IT,1693397711
9,turbat,26.0023,63.044,95.81,41,3,18.92,PK,1693397712
10,edinburgh of the seven seas,-37.0676,-12.3116,51.26,62,84,15.46,SH,1693397712
11,autazes,-3.5797,-59.1306,85.08,42,0,4.41,BR,1693397713
12,blackmans bay,-43.0167,147.3167,46.69,74,44,7.72,AU,1693397714
13,waitangi,-43.9535,-176.5597,47.82,90,28,1.99,NZ,1693397715
14,victorica,-36.2151,-65.4359,55.8,42,84,9.62,AR,1693397715
15,papatowai,-46.5619,169.4708,45.09,87,16,7.18,NZ,1693397716
16,vorkuta,67.5,64.0,55.74,58,95,7.02,RU,1693397717
17,new plymouth,-39.0667,174.0833,46.81,68,6,2.15,NZ,1693397518
18,ivdel',60.6911,60.4206,47.73,97,100,11.34,RU,1693397718
19,yellowknife,62.456,-114.3525,62.42,83,67,3.0,CA,1693397691
20,thompson,55.7435,-97.8558,54.77,89,60,2.39,CA,1693397720
21,hawaiian paradise park,19.5933,-154.9731,75.9,92,100,5.75,US,1693397721
22,lincoln city,44.9582,-124.0179,62.37,97,97,1.01,US,1693397727
23,new norfolk,-42.7826,147.0587,47.88,80,47,4.34,AU,1693397727
24,port-aux-francais,-49.35,70.2167,35.4,63,97,28.54,TF,1693397728
25,punta arenas,-53.15,-70.9167,35.24,88,90,10.85,CL,1693397729
26,gadzhiyevo,69.2551,33.3362,62.22,60,51,13.91,RU,1693397729
27,georgetown,5.4112,100.3354,85.95,73,20,0.0,MY,1693397734
28,saudarkrokur,65.7461,-19.6394,53.71,70,100,2.86,IS,1693397582
29,west island,-12.1568,96.8225,76.98,83,40,9.22,CC,1693397737
30,pontes e lacerda,-15.2261,-59.3353,84.65,50,19,2.53,BR,1693397456
31,smirnovo,54.5125,69.4222,62.62,52,42,6.8,KZ,1693397738
32,tura,25.5198,90.2201,80.76,80,23,2.13,IN,1693397739
33,jamestown,42.097,-79.2353,63.99,90,100,8.05,US,1693397740
34,atafu village,-8.5421,-172.5159,83.48,78,8,18.03,TK,1693397741
35,constantia,44.1833,28.65,84.88,66,0,13.58,RO,1693397742
36,mizan teferi,6.9833,35.5833,66.49,93,51,0.29,ET,1693397742
37,colonel hill,22.7667,-74.2167,85.46,74,91,16.6,BS,1693397743
38,stewartville,43.8555,-92.4885,57.18,89,75,5.75,US,1693397745
39,bilibino,68.0546,166.4372,47.8,97,100,5.61,RU,1693397745
40,ribeira grande,38.5167,-28.7,77.4,78,20,11.5,PT,1693397746
41,novyy urengoy,66.0833,76.6333,61.36,42,12,9.17,RU,1693397746
42,albany,42.6001,-73.9662,68.67,94,100,3.27,US,1693397555
43,fort mcmurray,56.7268,-111.381,54.99,100,0,4.61,CA,1693397748
44,adamstown,-25.066,-130.1015,67.46,89,99,15.57,PN,1693397748
45,ushuaia,-54.8,-68.3,33.46,86,20,4.61,AR,1693397749
46,cao bang,22.6667,106.25,75.16,78,7,3.29,VN,1693397750
47,isafjordur,66.0755,-23.124,50.04,76,20,8.05,IS,1693397750
48,katsuura,35.1333,140.3,80.33,90,93,12.28,JP,1693397751
49,yankton,42.8711,-97.3973,61.12,100,0,5.75,US,1693397751
50,castillos,-34.1667,-53.8333,53.89,81,5,4.14,UY,1693397752
51,grytviken,-54.2811,-36.5092,27.66,80,19,14.52,GS,1693397753
52,cockburn town,21.4612,-71.1419,84.16,79,40,9.22,TC,1693397753
53,kirando,-7.4167,30.6,80.8,46,9,7.58,TZ,1693397754
54,tiksi,71.6872,128.8694,36.9,75,99,17.74,RU,1693397754
55,malpica,43.3228,-8.8105,73.56,60,98,5.21,ES,1693397755
56,susuman,62.7833,148.1667,58.66,57,42,6.42,RU,1693397756
57,margaret river,-33.95,115.0667,50.45,80,0,9.98,AU,1693397757
58,naze,28.3667,129.4833,79.72,89,72,9.69,JP,1693397757
59,palpala,-24.2565,-65.2116,54.63,44,0,3.44,AR,1693397758
60,kapa'a,22.0752,-159.319,80.92,83,100,14.97,US,1693397759
61,nuku'alofa,-21.1333,-175.2,70.14,83,75,12.66,TO,1693397759
62,east london,-33.0153,27.9116,86.94,25,0,9.22,ZA,1693397760
63,stepnogorsk,52.3544,71.8869,67.46,36,88,15.59,KZ,1693397760
64,anadyr,64.75,177.4833,46.9,93,40,4.47,RU,1693397761
65,pak phanang,8.3511,100.202,87.82,67,98,3.4,TH,1693397762
66,saipan,15.1355,145.701,79.5,100,100,6.91,MP,1693397579
67,ancud,-41.8697,-73.8203,44.67,78,62,20.74,CL,1693397763
68,brandon,27.9378,-82.2859,82.96,92,100,18.41,US,1693397764
69,stanley,54.868,-1.6985,62.78,63,40,13.8,GB,1693397764
70,port mathurin,-19.6833,63.4167,72.79,72,77,13.02,MU,1693397765
71,morehead city,34.7229,-76.726,84.2,88,0,5.75,US,1693397737
72,dunedin,-45.8742,170.5036,46.8,70,75,1.01,NZ,1693397766
73,vilyuchinsk,52.9306,158.4028,48.47,83,2,5.1,RU,1693397768
74,port douglas,-16.4833,145.4667,69.62,76,15,4.5,AU,1693397586
75,wailua homesteads,22.0669,-159.378,79.59,83,100,14.97,US,1693397769
76,tafresh,34.692,50.013,86.2,7,0,16.87,IR,1693397770
77,olonkinbyen,70.9221,-8.7187,40.68,88,82,7.67,SJ,1693397771
78,greenville,35.6127,-77.3663,77.02,99,0,0.0,US,1693397771
79,longyearbyen,78.2186,15.6401,46.24,87,75,3.44,SJ,1693397772
80,forster,-32.1667,152.5167,63.28,74,99,11.63,AU,1693397773
81,codrington,-38.2667,141.9667,49.62,72,93,8.5,AU,1693397773
82,bardai,11.65,7.2333,81.45,67,100,7.99,NG,1693397774
83,udachny,66.4167,112.4,62.46,100,99,6.49,RU,1693397775
84,kralendijk,12.15,-68.2667,85.98,74,40,16.11,BQ,1693397775
85,benalla,-36.55,145.9833,48.31,93,53,6.46,AU,1693397776
86,bethel,41.3712,-73.414,73.2,89,100,1.01,US,1693397636
87,talnakh,69.4865,88.3972,51.21,62,100,14.9,RU,1693397777
88,carnarvon,-24.8667,113.6333,71.82,64,0,10.92,AU,1693397778
89,kapuskasing,49.4169,-82.4331,35.69,93,0,2.3,CA,1693397737
90,bredasdorp,-34.5322,20.0403,78.93,48,2,4.76,ZA,1693397779
91,coronel dorrego,-38.7187,-61.2873,55.35,48,100,15.86,AR,1693397678
92,chonchi,-42.6128,-73.8092,40.21,89,74,9.69,CL,1693397780
93,zaysan,47.4667,84.8667,83.28,29,0,7.29,KZ,1693397781
94,vila velha,-20.3297,-40.2925,73.35,92,75,5.75,BR,1693397782
95,arraial do cabo,-22.9661,-42.0278,73.26,83,40,16.11,BR,1693397782
96,los angeles,34.0522,-118.2437,84.6,71,0,4.61,US,1693397693
97,taroa,8.7058,171.2275,83.07,80,98,15.97,MH,1693397783
98,la'ie,21.6477,-157.9253,78.76,79,27,8.01,US,1693397784
99,dien bien phu,21.3833,103.0167,74.7,97,76,2.13,VN,1693397785
100,margate,51.3813,1.3862,65.89,59,3,10.0,GB,1693397750
101,iqaluit,63.7506,-68.5145,40.73,75,75,3.44,CA,1693397786
102,puerto ayora,-0.7393,-90.3518,75.54,93,97,5.99,EC,1693397787
103,rongelap,11.1635,166.8941,82.96,80,90,13.58,MH,1693397787
104,carrigaline,51.8117,-8.3986,60.55,63,75,3.44,IE,1693397788
105,mejit,10.2753,170.8646,84.02,72,85,16.02,MH,1693397789
106,onega,63.9061,38.1404,64.08,62,62,2.26,RU,1693397789
107,kone,-21.0595,164.8658,69.22,93,96,1.99,NC,1693397790
108,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,100,20,4.47,RU,1693397791
109,homnabad,17.7667,77.1333,82.27,59,67,8.93,IN,1693397791
110,ceeldheer,3.8488,47.1806,83.97,59,44,27.6,SO,1693397792
111,pathein,16.7833,94.7333,80.29,85,100,6.73,MM,1693397793
112,torghay,49.6339,63.4981,58.44,67,100,18.34,KZ,1693397794
113,kingsford,-33.924,151.2275,58.71,85,0,5.75,AU,1693397794
114,aljezur,37.3191,-8.8033,75.27,56,7,16.8,PT,1693397795
115,kingston,17.997,-76.7936,85.15,77,20,19.57,JM,1693397628
116,spring creek,40.7266,-115.5859,54.3,30,0,1.41,US,1693397796
117,petauke,-14.2426,31.3253,79.77,25,5,4.36,ZM,1693397797
118,san justo,-30.7891,-60.5919,56.95,59,0,10.0,AR,1693397797
119,ta`u,-14.2336,-169.5144,79.99,79,100,24.0,AS,1693397798
120,labrador city,52.9463,-66.9114,44.51,87,100,5.75,CA,1693397799
121,palopo,-2.9996,120.1921,76.23,65,6,2.91,ID,1693397799
122,happy valley-goose bay,53.3168,-60.3315,48.51,93,100,6.91,CA,1693397800
123,zaozersk,69.4005,32.4476,62.94,59,52,15.17,RU,1693397801
124,kodiak,57.79,-152.4072,51.31,93,100,9.22,US,1693397801
125,al burayqah,30.4062,19.5739,83.75,57,12,14.27,LY,1693397802
126,vilyuysk,63.7553,121.6247,67.91,62,96,6.24,RU,1693397802
127,sabzevar,36.2126,57.6819,96.08,17,40,16.11,IR,1693397803
128,la reforma,25.0833,-108.05,80.73,89,86,5.14,MX,1693397804
129,malesherbes,48.2957,2.4094,70.25,68,92,13.73,FR,1693397804
130,twentynine palms,34.1356,-116.0542,92.25,23,0,2.64,US,1693397611
131,tazacorte,28.629,-17.9293,81.57,73,40,12.66,ES,1693397805
132,coquimbo,-29.9533,-71.3436,56.34,77,0,6.62,CL,1693397566
133,tezu,27.9167,96.1667,81.23,87,15,1.92,IN,1693397807
134,tolanaro,-25.0319,46.9987,73.04,57,30,14.88,MG,1693397807
135,tofol,5.3248,163.0078,84.02,76,100,8.95,FM,1693397808
136,roma,43.2128,-75.4557,65.73,95,0,4.61,US,1693397790
137,saint-pierre,-21.3393,55.4781,75.56,73,100,20.71,RE,1693397809
138,fortuna,40.5982,-124.1573,58.93,97,100,6.91,US,1693397809
139,lebu,-37.6167,-73.65,48.31,81,30,11.05,CL,1693397810
140,tacna,-18.0056,-70.2483,58.1,79,17,2.77,PE,1693397811
141,uturoa,-16.7333,-151.4333,76.77,79,94,17.96,PF,1693397811
142,conception bay south,47.4999,-52.9981,67.91,83,85,8.9,CA,1693397812
143,dudinka,69.4058,86.1778,51.62,59,62,18.34,RU,1693397813
144,cabo san lucas,22.8909,-109.9124,82.76,86,10,4.05,MX,1693397745
145,colonia,50.9333,6.95,66.74,87,75,16.11,DE,1693397648
146,ust-tsilma,65.441,52.1498,56.35,62,100,3.11,RU,1693397815
147,port alfred,-33.5906,26.891,86.18,31,0,1.99,ZA,1693397815
148,rumuruti,0.267,36.5389,78.1,34,76,9.42,KE,1693397816
149,cromer,52.9312,1.2989,64.81,65,35,13.58,GB,1693397817
150,yaren,-0.5472,166.916,84.07,71,49,2.86,NR,1693397817
151,aasiaat,68.7098,-52.8699,36.91,86,100,5.1,GL,1693397819
152,luderitz,-26.6481,15.1594,71.15,57,22,4.74,NA,1693397820
153,zeya,53.75,127.2667,62.17,74,100,5.84,RU,1693397821
154,hermanus,-34.4187,19.2345,66.36,77,19,11.16,ZA,1693397821
155,kruisfontein,-34.0033,24.7314,91.89,14,0,14.56,ZA,1693397822
156,tazovsky,67.4667,78.7,53.51,61,73,11.16,RU,1693397823
157,la rioja,42.25,-2.5,65.98,53,76,9.28,ES,1693397728
158,taungoo,18.9333,96.4333,79.47,94,90,3.87,MM,1693397824
159,marshfield,44.6689,-90.1718,47.55,93,0,5.75,US,1693397695
160,alofi,-19.0595,-169.9187,71.49,64,87,10.36,NU,1693397826
161,pehcevo,41.7594,22.8906,79.63,22,2,11.77,MK,1693397827
162,grand baie,-20.0182,57.5802,73.87,74,39,5.99,MU,1693397827
163,hithadhoo,-0.6,73.0833,82.92,71,100,10.89,MV,1693397828
164,izazi,-7.2,35.7333,92.5,21,4,4.74,TZ,1693397829
165,yanbu,24.0891,38.0637,104.04,29,0,21.85,SA,1693397829
166,opuwo,-18.0607,13.84,88.3,17,0,12.21,NA,1693397830
167,xichang,27.8964,102.2634,61.59,96,100,0.72,CN,1693397830
168,san pedro,14.35,121.0167,81.63,86,75,12.66,PH,1693397831
169,newman,37.3138,-121.0208,64.38,33,0,4.27,US,1693397832
170,badger,64.8,-147.5333,57.07,92,75,0.0,US,1693397832
171,sinton,28.0367,-97.5092,82.83,69,0,6.73,US,1693397572
172,afaahiti,-17.75,-149.2833,73.27,85,100,16.71,PF,1693397833
173,iwon-up,40.3231,128.6553,70.39,94,96,4.52,KP,1693397834
174,balqash,46.8481,74.995,79.39,41,0,20.13,KZ,1693397835
175,sinabang,2.4803,96.3801,80.44,82,48,4.83,ID,1693397835
176,uribia,11.7139,-72.266,85.24,65,30,19.24,CO,1693397836
177,jurmala,56.968,23.7704,71.62,83,100,10.36,LV,1693397837
178,camayenne,9.535,-13.6878,75.92,90,100,6.22,GN,1693397838
179,luganville,-15.5333,167.1667,75.99,94,100,4.07,VU,1693397839
180,san antonio de pale,-1.4014,5.6325,75.09,89,95,14.18,GQ,1693397839
181,khandyga,62.6667,135.6,62.94,68,71,4.59,RU,1693397840
182,klyuchi,52.2667,79.1667,83.3,22,74,12.1,RU,1693397841
183,pisco,-13.7,-76.2167,59.05,88,100,2.3,PE,1693397700
184,amos,48.5669,-78.1162,42.17,92,93,8.59,CA,1693397842
185,invercargill,-46.4,168.35,48.02,70,13,8.01,NZ,1693397842
186,imperatriz,-5.5264,-47.4917,84.25,65,75,0.0,BR,1693397752
187,bamboo flat,11.7,92.7167,84.29,79,75,8.05,IN,1693397844
188,rawson,-43.3002,-65.1023,48.11,49,51,17.16,AR,1693397605
189,ust-nera,64.5667,143.2,59.77,79,58,9.75,RU,1693397845
190,kui buri,12.0828,99.8543,82.76,75,86,9.17,TH,1693397845
191,college,64.8569,-147.8028,57.15,90,75,0.0,US,1693397688
192,zhangatas,43.5667,69.75,72.93,42,87,17.69,KZ,1693397847
193,la passe,45.5549,-0.8967,67.01,77,90,11.61,FR,1693397849
194,mandera,3.9366,41.867,89.49,35,99,17.83,KE,1693397850
195,zaraza,9.3503,-65.3245,77.56,79,66,3.76,VE,1693397851
196,wynyard,-41.0,145.7167,43.99,82,33,7.58,AU,1693397851
197,kuching,1.55,110.3333,85.01,86,20,3.0,MY,1693397852
198,nantucket,41.2835,-70.0995,73.54,100,100,11.5,US,1693397800
199,ayr,55.4627,-4.6339,65.5,67,20,10.36,GB,1693397853
200,estevan,49.1334,-102.9842,55.6,94,0,10.36,CA,1693397701
201,ugoofaaru,5.6667,73.0,82.65,77,99,15.37,MV,1693397854
202,nemuro,43.3236,145.575,62.82,87,85,11.59,JP,1693397571
203,brody,50.0879,25.1503,79.9,52,98,13.78,UA,1693397855
204,mana,5.6592,-53.7767,81.54,83,10,5.41,GF,1693397856
205,pemangkat,1.1667,108.9667,82.22,79,94,13.42,ID,1693397856
206,grand falls-windsor,48.9332,-55.6649,65.5,83,73,1.99,CA,1693397857
207,pangoa,-12.1167,-73.0,74.23,69,88,1.28,PE,1693397859
208,ulsteinvik,62.3432,5.8487,63.91,79,60,7.0,NO,1693397860
209,isiro,2.7739,27.616,89.08,43,31,1.01,CD,1693397861
210,saldanha,-33.0117,17.9442,68.05,82,24,10.67,ZA,1693397599
211,mandalgovi,45.7625,106.2708,70.43,46,11,9.04,MN,1693397862
212,salvador,13.8333,-88.9167,72.0,97,100,1.57,SV,1693397801
213,saint-paul,-21.0096,55.2707,77.09,91,54,1.01,RE,1693397679
214,avarua,-21.2078,-159.775,69.85,73,75,5.75,CK,1693397864
215,ola,59.5833,151.2833,55.15,98,64,4.14,RU,1693397864
216,suratgarh,29.3167,73.9,104.2,18,0,6.33,IN,1693397865
217,prince rupert,54.3161,-130.3201,59.09,97,100,10.36,CA,1693397866
218,polyarnyy,69.1989,33.4478,61.95,61,48,13.29,RU,1693397866
219,sur,22.5667,59.5289,96.84,46,9,7.65,OM,1693397867
220,kirundo,-2.5833,30.1667,82.83,27,63,6.24,BI,1693397867
221,suntar,62.1444,117.6319,68.38,51,100,4.54,RU,1693397868
222,sinop,41.7711,34.8709,88.92,34,0,8.81,TR,1693397868
223,lethem,3.3803,-59.7968,83.26,66,12,9.48,GY,1693397869
224,yanam,16.7333,82.2167,85.57,69,79,3.04,IN,1693397870
225,olyokminsk,60.3736,120.4264,67.3,49,28,3.51,RU,1693397870
226,st. john's,47.5649,-52.7093,67.39,81,75,4.61,CA,1693397723
227,ebon,4.582,168.6964,83.48,76,95,6.62,MH,1693397871
228,tibati,6.4667,12.6333,81.1,60,65,4.23,CM,1693397872
229,moranbah,-22.0016,148.0466,64.51,63,27,7.63,AU,1693397873
230,iskateley,67.6803,53.1512,58.91,53,57,8.48,RU,1693397874
231,marsh harbour,26.5412,-77.0636,85.62,80,22,17.6,BS,1693397874
232,argo,37.6333,22.7333,89.78,25,2,1.74,GR,1693397875
233,korla,41.7597,86.1469,88.5,14,0,19.04,CN,1693397875
234,inhambane,-23.865,35.3833,74.79,58,85,9.73,MZ,1693397876
235,mpika,-11.8343,31.4529,76.82,28,2,8.3,ZM,1693397877
236,peace river,56.2501,-117.286,55.65,100,0,2.3,CA,1693397877
237,broken hill,-31.95,141.4333,55.65,57,27,15.12,AU,1693397878
238,kamiiso,41.8167,140.65,75.76,98,96,9.06,JP,1693397879
239,vorgashor,67.5833,63.95,55.33,59,95,6.55,RU,1693397880
240,tshabong,-26.05,22.45,79.63,14,0,11.21,BW,1693397880
241,crane,31.3974,-102.3501,74.28,41,72,10.74,US,1693397778
242,buka,40.8108,69.1986,85.24,29,100,13.18,UZ,1693397881
243,nova vicosa,-17.8919,-39.3719,73.69,92,99,2.13,BR,1693397882
244,nouadhibou,20.931,-17.0347,89.58,48,79,6.91,MR,1693397884
245,omagh,54.6,-7.3,61.03,67,99,5.66,GB,1693397884
246,lihue,21.9789,-159.3672,80.19,79,100,14.97,US,1693397885
247,fort bragg,35.139,-79.006,75.04,98,20,1.99,US,1693397886
248,pudozh,61.8099,36.5345,70.0,49,33,4.85,RU,1693397886
249,ukhta,63.5671,53.6835,58.64,47,98,2.8,RU,1693397887
250,carutapera,-1.195,-46.02,84.79,66,1,9.37,BR,1693397888
251,cascais,38.6979,-9.4215,80.46,56,20,32.21,PT,1693397888
252,guelendeng,10.9176,15.5501,88.29,55,73,3.91,TD,1693397889
253,selfoss,63.9331,-20.9971,57.04,70,100,7.92,IS,1693397890
254,hun,29.1268,15.9477,94.64,26,70,3.94,LY,1693397890
255,wotho,10.1657,166.0102,83.23,80,100,13.13,MH,1693397891
256,oelwein,42.6733,-91.9135,57.4,93,0,3.0,US,1693397892
257,san buenaventura,27.0833,-101.5333,80.06,48,6,2.48,MX,1693397892
258,howrah,22.5892,88.3103,93.2,66,40,5.75,IN,1693397893
259,palapag,12.5458,125.1147,80.82,82,53,10.69,PH,1693397894
260,iisalmi,63.5592,27.1907,63.99,73,98,5.17,FI,1693397895
261,ciudad cuauhtemoc,22.1833,-97.8333,82.51,74,75,5.17,MX,1693397895
262,jaisalmer,26.9147,70.9181,98.73,28,0,7.29,IN,1693397896
263,mizdah,31.4451,12.9801,95.34,17,38,3.27,LY,1693397898
264,la ronge,55.1001,-105.2842,61.05,88,0,3.44,CA,1693397899
265,pacific grove,36.6177,-121.9166,61.56,87,0,5.75,US,1693397900
266,waddan,29.1614,16.139,95.02,26,57,2.8,LY,1693397900
267,antonio enes,-16.2325,39.9086,77.72,66,68,13.04,MZ,1693397901
268,minas de marcona,-15.2119,-75.1103,53.76,87,68,13.94,PE,1693397901
269,oruro,-17.9833,-67.15,34.29,64,1,0.0,BO,1693397902
270,salym,60.0625,71.4789,68.5,53,100,12.64,RU,1693397903
271,villa gesell,-37.2639,-56.973,50.05,79,95,11.03,AR,1693397683
272,itaituba,-4.2761,-55.9836,84.36,79,0,0.0,BR,1693397904
273,san bernardo del viento,9.3533,-75.9524,82.22,87,53,3.11,CO,1693397907
274,hadibu,12.65,54.0333,85.41,60,80,21.34,YE,1693397907
275,remire-montjoly,4.9167,-52.2667,84.24,79,0,3.44,GF,1693397908
276,alice springs,-23.7,133.8833,58.55,33,0,0.0,AU,1693397909
277,steinkjer,64.193,11.3851,54.54,60,81,3.11,NO,1693397910
278,popondetta,-8.7537,148.2534,72.5,90,93,2.15,PG,1693397910
279,taltal,-25.4,-70.4833,60.35,71,20,2.64,CL,1693397911
280,shingu,33.7333,135.9833,77.14,90,100,1.77,JP,1693397912
281,aykhal,66.0,111.5,68.09,69,99,20.58,RU,1693397912
282,tangalle,6.024,80.7911,80.44,80,100,16.22,LK,1693397913
283,tomatlan,19.9333,-105.25,74.97,95,45,3.67,MX,1693397914
284,khairagarh,26.95,77.8167,96.46,39,37,6.35,IN,1693397914
285,tual,-5.6667,132.75,77.11,88,77,23.71,ID,1693397915
286,villa nueva,14.5269,-90.5875,68.02,94,75,0.0,GT,1693397916
287,monrovia,6.3005,-10.7969,78.51,82,100,6.11,LR,1693397784
288,rio grande,-32.035,-52.0986,51.91,91,25,2.91,BR,1693397917
289,leava,-14.3,-178.1667,80.44,79,95,25.75,WF,1693397917
290,darwin,-12.4611,130.8418,75.18,67,0,3.44,AU,1693397702
291,port-vila,-17.7338,168.3219,73.89,91,100,18.75,VU,1693397671
292,okha,53.5739,142.9478,53.37,92,99,9.75,RU,1693397919
293,ranau,5.9538,116.6641,72.7,96,100,2.39,MY,1693397920
294,khunti,23.0833,85.2833,84.31,68,86,0.76,IN,1693397920
295,qaisumah,28.3112,46.1273,107.56,12,0,6.91,SA,1693397921
296,mol,51.192,5.1145,68.72,81,99,11.05,BE,1693397921
297,yuzhno-kurilsk,44.0306,145.8556,61.57,90,81,10.22,RU,1693397922
298,qamdo,31.1667,97.2333,48.42,76,69,5.53,CN,1693397923
299,soroti,1.7146,33.6111,82.65,40,67,5.84,UG,1693397923
300,marang,5.2056,103.2059,84.11,86,82,6.8,MY,1693397924
301,salinas,36.6777,-121.6555,61.97,87,0,5.75,US,1693397769
302,whitefish,48.4111,-114.3376,56.5,95,100,9.22,US,1693397925
303,haiku-pauwela,20.9219,-156.3051,77.04,80,29,5.01,US,1693397926
304,nizamabad,18.6667,78.1167,83.55,65,82,6.31,IN,1693397927
305,lagos,6.5833,3.75,81.52,78,99,6.38,NG,1693397927
306,hamilton,39.1834,-84.5333,65.88,86,100,11.5,US,1693397928
307,fisterra,42.9049,-9.2629,75.74,75,92,13.71,ES,1693397892
308,rabo de peixe,37.8,-25.5833,74.71,73,20,9.22,PT,1693397929
309,cape canaveral,28.4058,-80.6048,84.27,83,20,23.02,US,1693397726
310,mombasa,-4.0547,39.6636,82.81,65,75,19.57,KE,1693397930
311,nova sintra,14.8667,-24.7167,72.84,89,86,20.13,CV,1693397932
312,antigonish,45.6169,-61.9986,68.83,99,100,1.01,CA,1693397933
313,as sulayyil,20.4607,45.5779,113.25,8,47,4.43,SA,1693397933
314,tando allahyar,25.4626,68.7192,99.43,35,0,14.45,PK,1693397934
315,pama,11.2497,0.7075,86.31,64,96,7.54,BF,1693397935
316,marina di gioiosa ionica,38.3073,16.3206,77.13,45,19,11.97,IT,1693397936
317,brookings,44.3114,-96.7984,53.38,97,100,0.0,US,1693397652
318,qaqortoq,60.7167,-46.0333,48.4,77,88,4.56,GL,1693397937
319,nueva rosita,27.95,-101.2167,80.13,33,1,5.53,MX,1693397938
320,severo-yeniseyskiy,60.3725,93.0408,59.88,67,2,1.7,RU,1693397938
321,cartagena,10.3997,-75.5144,87.42,94,20,8.05,CO,1693397796
322,nadym,65.5333,72.5167,58.32,57,77,7.87,RU,1693397940
323,zhigalovo,54.8097,105.1578,70.2,55,26,1.81,RU,1693397940
324,manokwari,-0.8667,134.0833,80.17,82,49,2.66,ID,1693397941
325,north bend,43.4065,-124.2243,62.85,100,100,4.61,US,1693397830
326,lautoka,-17.6167,177.4667,72.84,81,98,6.53,FJ,1693397943
327,urengoy,65.9667,78.3667,60.84,46,59,5.75,RU,1693397943
328,tayshet,55.9342,98.0044,63.54,89,100,3.31,RU,1693397944
329,rikaze,29.25,88.8833,71.69,29,5,8.59,CN,1693397945
330,rabaul,-4.1967,152.1721,78.46,81,100,15.55,PG,1693397945
331,meadow lakes,61.6247,-149.6011,52.07,96,100,0.0,US,1693397946
332,selyatino,55.5151,36.9775,68.05,60,20,6.71,RU,1693397947
333,puerto baquerizo moreno,-0.9,-89.6,74.23,84,100,13.6,EC,1693397757
334,okakarara,-20.5833,17.4333,83.59,15,11,8.77,NA,1693397948
335,tadine,-21.55,167.8833,71.28,91,99,20.58,NC,1693397949
336,rameswaram,9.2833,79.3,83.08,76,91,15.88,IN,1693397949
337,baotou,40.6522,109.8222,76.14,24,1,8.57,CN,1693397950
338,nizhniy lomov,53.5304,43.6766,70.43,36,27,7.83,RU,1693397951
339,totness,5.8833,-56.3167,81.63,82,8,8.68,SR,1693397952
340,daoukro,7.0591,-3.9631,85.6,62,96,4.12,CI,1693397952
341,kerikeri,-35.2268,173.9474,50.54,84,94,1.3,NZ,1693397953
342,sheboygan,43.7333,-87.9334,55.18,76,100,8.05,US,1693397954
343,mermoz boabab,14.7065,-17.4758,84.76,79,99,15.7,SN,1693397954
344,sanctuary point,-35.1114,150.629,58.75,77,100,5.57,AU,1693397955
345,barra de santo antonio,-9.4047,-35.5072,81.68,72,1,12.06,BR,1693397956
346,nadi,-17.8,177.4167,72.75,80,98,5.95,FJ,1693397956
347,imbituba,-28.24,-48.6703,64.85,79,20,3.51,BR,1693397957
348,buncrana,55.1333,-7.45,60.57,69,92,7.9,IE,1693397958
349,paraiso,9.8383,-83.8656,70.66,93,100,2.93,CR,1693397958
350,humaita,-7.5061,-63.0208,84.15,55,45,1.16,BR,1693397959
351,zhezqazghan,47.7833,67.7667,63.18,42,40,24.61,KZ,1693397960
352,kirakira,-10.4544,161.9205,77.63,88,80,3.85,SB,1693397961
353,kibiya,11.5263,8.6623,87.04,55,98,7.43,NG,1693397961
